champion,damage_objectives,damage_building,damage_turrets,kda,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
Galio,3243.0,8839.0,3243.0,4.5,0.0,43.0,189427,15149,Other,Many
Sona,1897.0,3317.0,1897.0,1.75,0.0,50.0,15935,7121,Other,Few
JarvanIV,526.0,16896.0,526.0,0.333333333,0.0,19.0,122031,7041,TopLane_Jungle,Few
Jax,6620.0,13347.0,6620.0,5.5,2.0,13.0,121519,11037,TopLane_Jungle,Many
Rakan,466.0,466.0,466.0,4.333333333,0.0,29.0,11623,5506,Other,Few
Zed,1860.0,14420.0,1860.0,3.6,1.0,33.0,174244,12497,TopLane_Jungle,Few
Karma,777.0,777.0,777.0,1.111111111,0.0,38.0,11642,5611,Other,Few
Akshan,1208.0,5011.0,1208.0,1.333333333,0.0,25.0,79077,7056,Other,Many
Alistar,343.0,343.0,343.0,1.625,0.0,100.0,19457,9270,Other,Few
Rengar,1336.0,17149.0,1336.0,4.0,1.0,22.0,89865,7710,TopLane_Jungle,Few
Yasuo,6207.0,6468.0,6207.0,2.0,2.0,14.0,126754,9688,TopLane_Jungle,Many
LeeSin,1023.0,19475.0,1023.0,6.5,1.0,19.0,111244,9866,TopLane_Jungle,Few
Lulu,490.0,490.0,490.0,1.166666667,0.0,38.0,10935,5267,Other,Few
Twitch,2740.0,2740.0,2740.0,2.333333333,2.0,15.0,68413,8861,Other,Many
Nami,2983.0,3872.0,2983.0,7.0,2.0,34.0,18784,8325,Other,Few
Teemo,6523.0,6715.0,6523.0,0.428571429,2.0,17.0,96304,8858,TopLane_Jungle,Many
Veigar,3217.0,7760.0,3217.0,3.0,1.0,13.0,137980,11541,Other,Many
Ryze,2813.0,10597.0,2813.0,5.666666667,2.0,22.0,185793,13353,Other,Many
Jayce,9949.0,12963.0,9949.0,6.0,5.0,22.0,150046,14179,TopLane_Jungle,Many
XinZhao,0.0,7165.0,0.0,1.0,0.0,16.0,51433,6000,TopLane_Jungle,Few
Sett,2687.0,5459.0,2687.0,8.5,0.0,37.0,75694,8724,TopLane_Jungle,Many
Aphelios,10487.0,13050.0,10487.0,2.5,2.0,18.0,129925,11067,Other,Many
Vayne,4447.0,7016.0,4447.0,3.0,1.0,22.0,134754,12632,Other,Many
Yone,1711.0,1902.0,1711.0,1.5,1.0,32.0,221420,14254,Other,Many
Pyke,204.0,1882.0,204.0,1.833333333,0.0,63.0,20770,7902,Other,Few
Kindred,678.0,34442.0,678.0,2.5,1.0,15.0,113045,8449,TopLane_Jungle,Few
Sylas,4479.0,6649.0,4479.0,3.4,2.0,18.0,138256,13258,Other,Many
Vex,3384.0,4962.0,3384.0,5.5,1.0,25.0,110603,10554,Other,Many
Corki,7986.0,16181.0,7986.0,2.25,4.0,21.0,195307,17169,Other,Many
Syndra,1128.0,1826.0,1128.0,1.0,0.0,13.0,63591,8822,Other,Many
Rell,0.0,1439.0,0.0,1.1,0.0,131.0,35371,11065,Other,Few
TwistedFate,4404.0,6679.0,4404.0,6.5,3.0,31.0,125599,11875,Other,Many
LeeSin,766.0,14797.0,766.0,8.0,0.0,35.0,151660,14186,TopLane_Jungle,Few
Caitlyn,14758.0,23060.0,14758.0,3.571428571,4.0,33.0,177940,14111,Other,Many
Karma,418.0,1059.0,418.0,4.5,0.0,43.0,15789,5729,Other,Few
Fiora,10773.0,11909.0,10773.0,3.5,4.0,13.0,115850,12357,TopLane_Jungle,Many
Kled,780.0,780.0,780.0,2.25,0.0,14.0,88405,10982,Other,Many
Syndra,1827.0,8603.0,1827.0,4.333333333,1.0,42.0,204510,13742,Other,Many
Viego,763.0,27329.0,763.0,1.909090909,1.0,65.0,219484,16028,TopLane_Jungle,Few
Nunu,0.0,0.0,0.0,1.25,0.0,5.0,42734,4640,Other,Few
Caitlyn,14131.0,40631.0,14131.0,3.75,4.0,31.0,225318,18481,Other,Many
TwistedFate,6800.0,11937.0,6800.0,3.2,3.0,25.0,146172,13927,Other,Many
Ziggs,319.0,319.0,319.0,0.166666667,0.0,7.0,48302,4013,Other,Few
Ornn,3067.0,8337.0,3067.0,2.0,1.0,24.0,105176,11154,TopLane_Jungle,Many
Jinx,2446.0,8405.0,2446.0,2.4,0.0,29.0,106475,9417,Other,Many
Twitch,2272.0,5375.0,2272.0,3.166666667,0.0,47.0,137355,13545,Other,Many
Camille,5504.0,5504.0,5504.0,5.0,1.0,9.0,63193,7607,TopLane_Jungle,Many
Vex,6024.0,13270.0,6024.0,23.0,2.0,17.0,153018,13603,Other,Many
Draven,5305.0,10908.0,5305.0,5.0,2.0,17.0,119017,12315,Other,Many
Viego,0.0,8401.0,0.0,1.8,0.0,30.0,112328,9120,TopLane_Jungle,Few
Kassadin,2346.0,2926.0,2346.0,0.5,0.0,8.0,78545,7919,Other,Many
Kayn,946.0,30046.0,946.0,3.2,1.0,40.0,229949,15326,TopLane_Jungle,Few
TwistedFate,0.0,434.0,0.0,1.4,0.0,18.0,99151,10428,Other,Many
Viego,1956.0,23113.0,1956.0,1.0,1.0,37.0,126468,9178,TopLane_Jungle,Few
Nautilus,934.0,1939.0,934.0,2.363636364,0.0,74.0,52744,10294,Other,Few
Jayce,651.0,9057.0,651.0,0.5,0.0,13.0,112819,7898,TopLane_Jungle,Many
Leona,715.0,2861.0,715.0,3.8,1.0,72.0,23298,8372,Other,Few
Ezreal,2560.0,8004.0,2560.0,3.0,2.0,14.0,144322,12141,Other,Many
Hecarim,0.0,3740.0,0.0,1.142857143,0.0,15.0,96512,8353,TopLane_Jungle,Few
Jayce,3901.0,3901.0,3901.0,1.285714286,1.0,22.0,186267,14809,TopLane_Jungle,Many
Ezreal,7365.0,21623.0,7365.0,14.0,2.0,17.0,217777,15629,Other,Many
Nidalee,3932.0,11799.0,3932.0,3.333333333,3.0,11.0,99229,8895,Other,Many
Akali,0.0,266.0,0.0,2.4,0.0,19.0,114061,11590,Other,Many
Caitlyn,3303.0,16885.0,3303.0,3.222222222,2.0,42.0,293229,19474,Other,Many
Viego,835.0,21650.0,835.0,4.0,0.0,30.0,173482,11359,TopLane_Jungle,Few
TahmKench,5538.0,8998.0,5538.0,4.2,1.0,23.0,107320,13045,TopLane_Jungle,Many
Katarina,1029.0,1646.0,1029.0,4.4,1.0,20.0,120836,12468,Other,Many
Karthus,145.0,16623.0,145.0,3.166666667,1.0,12.0,124651,10676,Other,Many
RekSai,0.0,6303.0,0.0,1.666666667,0.0,12.0,72943,6073,TopLane_Jungle,Few
Qiyana,491.0,16077.0,491.0,5.0,0.0,22.0,174694,12792,TopLane_Jungle,Few
Zed,1421.0,35191.0,1421.0,2.125,0.0,31.0,233123,14106,TopLane_Jungle,Few
Jhin,1833.0,8019.0,1833.0,1.666666667,0.0,17.0,170379,13174,Other,Many
Janna,0.0,3647.0,0.0,5.2,0.0,85.0,30938,9493,Other,Few
Akshan,3723.0,8614.0,3723.0,2.111111111,3.0,26.0,111381,12275,TopLane_Jungle,Many
Lucian,2936.0,11763.0,2936.0,4.0,2.0,12.0,82350,7838,Other,Many
Kindred,898.0,35307.0,898.0,4.0,1.0,39.0,201561,13987,TopLane_Jungle,Few
Yone,4764.0,8576.0,4764.0,5.333333333,1.0,22.0,126658,10871,TopLane_Jungle,Many
Renekton,3022.0,4500.0,3022.0,1.0,1.0,10.0,93588,8774,TopLane_Jungle,Many
Fiora,16180.0,22008.0,16180.0,3.25,4.0,32.0,210099,20031,TopLane_Jungle,Many
Graves,5288.0,14834.0,5288.0,4.666666667,3.0,12.0,106512,10012,TopLane_Jungle,Many
Qiyana,1309.0,49950.0,1309.0,3.0,2.0,31.0,236106,16209,TopLane_Jungle,Few
Jinx,3042.0,3042.0,3042.0,1.75,1.0,18.0,119742,10719,Other,Many
Ezreal,11644.0,26551.0,11644.0,11.0,5.0,13.0,210523,17799,Other,Many
Camille,958.0,5470.0,958.0,0.333333333,0.0,18.0,192813,11834,TopLane_Jungle,Many
Syndra,1483.0,1483.0,1483.0,1.5,0.0,26.0,134761,10398,Other,Many
Viktor,7375.0,16546.0,7375.0,4.75,5.0,27.0,225939,16771,Other,Many
Twitch,10115.0,12762.0,10115.0,2.777777778,5.0,36.0,203682,17293,Other,Many
Rakan,767.0,3422.0,767.0,1.8,0.0,122.0,29656,9742,Other,Few
Jinx,17035.0,31195.0,17035.0,4.0,6.0,37.0,293600,18987,Other,Many
Graves,2573.0,4459.0,2573.0,1.0,1.0,17.0,76492,7593,TopLane_Jungle,Many
Soraka,1289.0,3069.0,1289.0,6.0,1.0,44.0,13493,7289,Other,Few
Caitlyn,15678.0,26468.0,15678.0,3.571428571,3.0,20.0,262140,16939,Other,Many
Kayn,1117.0,13905.0,1117.0,0.7777777779999999,1.0,19.0,177434,11013,TopLane_Jungle,Few
Lulu,974.0,2260.0,974.0,5.5,0.0,80.0,11573,8553,Other,Few
Qiyana,0.0,7346.0,0.0,1.2,0.0,20.0,145488,7641,TopLane_Jungle,Few
JarvanIV,1687.0,21074.0,1687.0,5.5,2.0,30.0,184411,13397,TopLane_Jungle,Few
Ziggs,19665.0,20431.0,19665.0,5.333333333,4.0,9.0,123192,10699,Other,Many
Bard,228.0,228.0,228.0,1.666666667,0.0,30.0,10713,5794,Other,Few
MonkeyKing,380.0,380.0,380.0,1.25,0.0,12.0,50778,6546,TopLane_Jungle,Many
Ezreal,0.0,0.0,0.0,1.333333333,0.0,9.0,51535,6047,Other,Many
Lulu,1278.0,4499.0,1278.0,18.0,1.0,54.0,17511,7163,Other,Few
Karthus,2918.0,5333.0,2918.0,1.777777778,1.0,25.0,193569,14206,Other,Many
Bard,151.0,1384.0,151.0,1.0,0.0,78.0,14312,8441,Other,Few
Ekko,2145.0,18041.0,2145.0,1.428571429,0.0,33.0,206731,11556,TopLane_Jungle,Few
Senna,1254.0,2245.0,1254.0,2.5,0.0,10.0,51377,8381,TopLane_Jungle,Few
Viktor,693.0,2341.0,693.0,2.0,1.0,48.0,200142,13373,TopLane_Jungle,Many
Evelynn,437.0,11188.0,437.0,22.0,2.0,18.0,119548,11305,TopLane_Jungle,Few
Kindred,0.0,27612.0,0.0,1.2,1.0,39.0,126412,9832,TopLane_Jungle,Few
Vex,1480.0,1480.0,1480.0,1.571428571,0.0,17.0,85068,8546,Other,Many
XinZhao,270.0,11599.0,270.0,3.6,0.0,36.0,182893,13512,TopLane_Jungle,Few
Camille,0.0,0.0,0.0,1.666666667,0.0,11.0,63824,8922,TopLane_Jungle,Many
Aphelios,5245.0,14455.0,5245.0,5.5,2.0,22.0,171651,13031,Other,Many
Viego,2914.0,66633.0,2914.0,4.285714286,3.0,53.0,305356,22292,TopLane_Jungle,Many
Jhin,2381.0,5684.0,2381.0,2.333333333,1.0,19.0,200162,15292,Other,Many
Corki,861.0,4036.0,861.0,2.6,0.0,18.0,122014,11580,Other,Many
Gragas,2281.0,5496.0,2281.0,3.0,1.0,16.0,103014,8830,Other,Many
Varus,1651.0,9361.0,1651.0,13.0,2.0,23.0,72230,9092,Other,Many
Caitlyn,4195.0,5207.0,4195.0,1.6,1.0,21.0,162844,12484,Other,Many
Jax,6582.0,6582.0,6582.0,6.0,2.0,10.0,108183,10276,TopLane_Jungle,Many
Morgana,0.0,761.0,0.0,1.642857143,0.0,83.0,43592,10119,Other,Few
Senna,5039.0,5039.0,5039.0,7.0,2.0,37.0,36498,9748,Other,Few
Vex,1955.0,7701.0,1955.0,2.666666667,3.0,28.0,118064,11198,Other,Many
Xerath,0.0,1994.0,0.0,1.25,0.0,49.0,20861,6682,Other,Few
Nami,1002.0,1863.0,1002.0,3.333333333,1.0,75.0,16044,10011,Other,Few
Jax,1063.0,1273.0,1063.0,4.0,1.0,21.0,95195,11288,TopLane_Jungle,Many
Camille,7838.0,8871.0,7838.0,4.0,3.0,7.0,83104,10318,TopLane_Jungle,Many
Irelia,432.0,3095.0,432.0,0.222222222,1.0,13.0,106801,7525,TopLane_Jungle,Many
Fiddlesticks,0.0,13733.0,0.0,1.571428571,0.0,48.0,94129,7462,TopLane_Jungle,Few
Yuumi,73.0,73.0,73.0,1.8,0.0,29.0,7145,4555,Other,Few
Yasuo,7939.0,16894.0,7939.0,2.666666667,4.0,37.0,268381,17254,Other,Many
Veigar,3923.0,3923.0,3923.0,7.0,1.0,17.0,68174,8341,Other,Many
Shen,695.0,2020.0,695.0,6.0,0.0,21.0,64185,6876,TopLane_Jungle,Many
Pyke,167.0,167.0,167.0,3.5,0.0,39.0,14712,6374,Other,Few
Pyke,404.0,935.0,404.0,1.625,0.0,37.0,18643,9464,Other,Few
LeeSin,589.0,10944.0,589.0,0.8,1.0,11.0,88524,5939,TopLane_Jungle,Few
Viego,1687.0,14911.0,1687.0,1.0,1.0,8.0,113550,7968,TopLane_Jungle,Few
LeeSin,441.0,29605.0,441.0,7.0,2.0,20.0,131871,9685,TopLane_Jungle,Few
Senna,2529.0,2529.0,2529.0,2.9,0.0,68.0,54138,12889,Other,Few
Rell,0.0,0.0,0.0,1.75,0.0,42.0,12367,5025,Other,Few
Neeko,2202.0,2740.0,2202.0,2.8,1.0,117.0,33508,10692,Other,Few
Talon,583.0,25536.0,583.0,1.625,0.0,39.0,206995,13844,TopLane_Jungle,Few
Karma,1846.0,1846.0,1846.0,1.111111111,1.0,15.0,79958,8027,TopLane_Jungle,Many
Braum,279.0,489.0,279.0,3.25,0.0,48.0,18775,6518,Other,Few
Jhin,4665.0,7599.0,4665.0,4.75,1.0,44.0,253991,17078,Other,Many
Nocturne,49.0,5943.0,49.0,1.166666667,0.0,9.0,122258,8417,TopLane_Jungle,Few
Bard,785.0,2353.0,785.0,5.4,0.0,138.0,26241,10489,Other,Few
LeeSin,1168.0,16449.0,1168.0,2.2,0.0,18.0,106125,8841,TopLane_Jungle,Few
Viego,1006.0,16922.0,1006.0,13.0,2.0,21.0,137678,12827,TopLane_Jungle,Few
Vayne,4596.0,10101.0,4596.0,6.0,1.0,18.0,94212,9829,Other,Many
Kassadin,3113.0,5159.0,3113.0,3.0,1.0,11.0,111239,12873,Other,Many
Viktor,1246.0,2620.0,1246.0,0.75,0.0,16.0,91458,8900,Other,Many
Yone,4296.0,4848.0,4296.0,0.9,1.0,15.0,98763,9239,Other,Many
Singed,4079.0,23416.0,4079.0,3.75,2.0,19.0,185616,16619,Other,Many
Zed,0.0,2068.0,0.0,0.857142857,0.0,7.0,75711,7097,TopLane_Jungle,Few
LeeSin,929.0,37333.0,929.0,14.0,1.0,38.0,125378,13205,TopLane_Jungle,Few
Viktor,4506.0,5895.0,4506.0,2.1,2.0,19.0,171139,13776,Other,Many
Singed,3416.0,4202.0,3416.0,0.7142857140000001,1.0,14.0,79849,7439,TopLane_Jungle,Many
Jinx,2221.0,2221.0,2221.0,1.75,0.0,6.0,57805,6328,Other,Many
Zed,3213.0,27822.0,3213.0,6.0,2.0,36.0,187160,13615,TopLane_Jungle,Few
Kindred,6647.0,41606.0,6647.0,16.0,3.0,25.0,129340,10865,TopLane_Jungle,Few
Fiora,1742.0,1893.0,1742.0,0.363636364,0.0,14.0,85328,8182,TopLane_Jungle,Many
Blitzcrank,2953.0,2953.0,2953.0,4.0,2.0,57.0,28101,9687,Other,Few
Kaisa,4112.0,19448.0,4112.0,1.571428571,2.0,27.0,139462,12435,Other,Many
Yone,0.0,1847.0,0.0,0.428571429,0.0,9.0,78561,6547,Other,Many
Lulu,1630.0,3105.0,1630.0,6.0,0.0,59.0,17474,9812,Other,Few
Fiora,6742.0,9609.0,6742.0,2.8,1.0,16.0,114987,12821,TopLane_Jungle,Many
Cassiopeia,703.0,9714.0,703.0,6.0,1.0,19.0,92128,8553,Other,Many
Nidalee,0.0,3035.0,0.0,1.4444444440000002,0.0,18.0,119671,8569,TopLane_Jungle,Few
Akshan,2464.0,2464.0,2464.0,2.666666667,2.0,16.0,104524,15715,Other,Many
Zilean,0.0,0.0,0.0,2.0,0.0,18.0,5401,4024,Other,Few
Sylas,5830.0,5995.0,5830.0,3.0,1.0,13.0,130670,12098,Other,Many
Yasuo,290.0,5283.0,290.0,1.333333333,0.0,29.0,176078,12083,Other,Many
Rell,180.0,996.0,180.0,2.8,0.0,69.0,18370,7314,Other,Few
Camille,9443.0,22340.0,9443.0,3.333333333,4.0,13.0,112522,12030,Other,Many
Veigar,4411.0,6521.0,4411.0,2.333333333,3.0,28.0,113066,11281,Other,Many
Camille,593.0,593.0,593.0,2.2,1.0,18.0,85138,8709,TopLane_Jungle,Many
Galio,1086.0,4252.0,1086.0,2.272727273,0.0,34.0,124414,13326,Other,Many
Nami,2430.0,2689.0,2430.0,5.0,0.0,41.0,18309,6588,Other,Few
Ivern,1489.0,30981.0,1489.0,9.5,2.0,33.0,499423,12774,TopLane_Jungle,Few
Sion,1398.0,5662.0,1398.0,1.666666667,1.0,12.0,102446,8639,TopLane_Jungle,Many
Lulu,0.0,304.0,0.0,1.333333333,0.0,53.0,12038,6249,Other,Few
Ivern,38.0,24847.0,38.0,2.75,0.0,33.0,324824,8123,TopLane_Jungle,Few
Talon,897.0,8964.0,897.0,1.142857143,0.0,35.0,199912,12102,TopLane_Jungle,Few
Aphelios,10142.0,15499.0,10142.0,3.666666667,6.0,28.0,131614,10535,Other,Many
Varus,1243.0,6476.0,1243.0,9.0,2.0,17.0,104317,9129,Other,Many
Velkoz,2122.0,2122.0,2122.0,6.0,1.0,10.0,106977,9280,Other,Many
LeeSin,1781.0,15916.0,1781.0,3.333333333,1.0,22.0,160019,13898,TopLane_Jungle,Few
Gwen,1545.0,2715.0,1545.0,1.625,0.0,20.0,102406,11825,TopLane_Jungle,Few
Lucian,0.0,0.0,0.0,0.4,0.0,17.0,85141,8015,Other,Many
Katarina,6158.0,8556.0,6158.0,6.0,2.0,22.0,159810,14686,Other,Many
Galio,1602.0,2555.0,1602.0,2.5,0.0,17.0,73574,8979,Other,Many
Rumble,0.0,0.0,0.0,1.5555555559999998,0.0,17.0,98946,9276,Other,Many
Soraka,1671.0,2605.0,1671.0,5.6,0.0,54.0,13900,8055,Other,Few
Karthus,3563.0,3563.0,3563.0,2.714285714,0.0,11.0,135362,12863,Other,Many
Nami,875.0,3169.0,875.0,1.3,1.0,67.0,13291,6852,Other,Few
Camille,2563.0,4382.0,2563.0,2.4,1.0,19.0,87830,9974,TopLane_Jungle,Many
Graves,0.0,8776.0,0.0,1.0,0.0,14.0,120212,8236,TopLane_Jungle,Few
Leblanc,770.0,770.0,770.0,2.0,0.0,21.0,52838,7278,Other,Many
Nidalee,0.0,12317.0,0.0,1.5,0.0,15.0,63093,5067,TopLane_Jungle,Few
Lucian,6337.0,15340.0,6337.0,3.75,3.0,35.0,188990,13217,Other,Many
Sona,613.0,613.0,613.0,1.5,0.0,52.0,16395,7000,Other,Few
JarvanIV,2458.0,6585.0,2458.0,1.833333333,1.0,20.0,87655,9899,TopLane_Jungle,Many
Lulu,750.0,1902.0,750.0,9.5,1.0,56.0,16078,8106,Other,Few
Irelia,3961.0,4354.0,3961.0,1.4,1.0,25.0,115753,10519,Other,Many
Irelia,1817.0,6827.0,1817.0,1.0,1.0,18.0,166407,11354,TopLane_Jungle,Many
Lulu,557.0,2721.0,557.0,19.0,0.0,29.0,18738,6857,Other,Few
Lux,4587.0,4587.0,4587.0,4.0,1.0,23.0,152840,11226,Other,Many
Sivir,1936.0,6621.0,1936.0,7.0,1.0,31.0,204744,13348,Other,Many
Leona,0.0,0.0,0.0,1.166666667,0.0,36.0,16370,5187,Other,Few
Mordekaiser,1779.0,9617.0,1779.0,3.75,0.0,34.0,154501,13953,TopLane_Jungle,Many
Lulu,1301.0,2537.0,1301.0,7.0,1.0,36.0,14991,8555,Other,Few
Fiora,2432.0,2432.0,2432.0,2.0,0.0,16.0,80299,9388,TopLane_Jungle,Many
Thresh,351.0,450.0,351.0,1.7,0.0,81.0,19446,8499,Other,Few
Sylas,1443.0,2298.0,1443.0,1.888888889,0.0,27.0,96550,10609,Other,Many
Renekton,3598.0,11112.0,3598.0,0.666666667,2.0,34.0,237371,16174,TopLane_Jungle,Many
Trundle,2536.0,12559.0,2536.0,2.4,0.0,36.0,112797,9708,TopLane_Jungle,Few
Vladimir,3649.0,11219.0,3649.0,7.0,1.0,24.0,139779,11937,Other,Many
