champion,damage_objectives,damage_building,damage_turrets,kda,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
Qiyana,473.0,860.0,473.0,0.5714285714285714,1.0,20.0,88754,8036,Other,Many
Jinx,3359.0,6953.0,3359.0,0.7142857142857143,1.0,27.0,106951,9570,Other,Many
Ahri,1206.0,1559.0,1206.0,1.0,1.0,25.0,136080,10410,Other,Many
Sona,597.0,808.0,597.0,3.0,0.0,48.0,11472,5126,Other,Few
Janna,1310.0,4104.0,1310.0,21.0,1.0,70.0,25164,8893,Other,Few
Lux,375.0,375.0,375.0,0.4,0.0,26.0,13596,4573,Other,Few
Hecarim,1901.0,27747.0,1901.0,3.5,1.0,11.0,153344,10993,TopLane_Jungle,Few
Trundle,549.0,25928.0,549.0,2.25,1.0,29.0,102606,8634,TopLane_Jungle,Few
Bard,107.0,371.0,107.0,7.5,0.0,40.0,12233,6550,Other,Few
Rumble,5987.0,26741.0,5987.0,9.333333333,4.0,30.0,191004,15022,Other,Many
LeeSin,4657.0,29576.0,4657.0,12.0,2.0,20.0,149527,13454,TopLane_Jungle,Few
Viktor,2970.0,11166.0,2970.0,3.5,1.0,39.0,269889,19288,Other,Many
Graves,5289.0,27177.0,5289.0,9.5,5.0,39.0,214611,12778,TopLane_Jungle,Few
Qiyana,960.0,10645.0,960.0,2.333333333333333,0.0,24.0,179088,13169,TopLane_Jungle,Few
Evelynn,0.0,18218.0,0.0,2.428571429,1.0,39.0,172927,13716,TopLane_Jungle,Few
Cassiopeia,0.0,0.0,0.0,1.125,0.0,12.0,58115,8325,Other,Many
Ezreal,7077.0,7077.0,7077.0,2.4,1.0,22.0,127374,11572,Other,Many
Qiyana,0.0,19303.0,0.0,4.8,1.0,46.0,197459,13903,TopLane_Jungle,Few
Graves,3663.0,9237.0,3663.0,1.75,2.0,22.0,158858,10569,TopLane_Jungle,Many
Akali,196.0,268.0,196.0,18.0,0.0,23.0,96184,10441,TopLane_Jungle,Many
Viego,1702.0,16774.0,1702.0,6.5,0.0,29.0,148310,14232,TopLane_Jungle,Few
LeeSin,999.0,24923.0,999.0,6.333333333,2.0,39.0,157621,10480,TopLane_Jungle,Few
Aphelios,0.0,0.0,0.0,0.666666667,0.0,7.0,72602,6135,Other,Many
Senna,5596.0,12796.0,5596.0,4.428571428571429,2.0,55.0,59199,11676,Other,Few
Vayne,658.0,7926.0,658.0,0.75,0.0,48.0,141766,11749,Other,Many
Xayah,9674.0,32227.0,9674.0,3.333333333,5.0,32.0,220845,15900,Other,Many
Tryndamere,2995.0,2995.0,2995.0,0.5,0.0,6.0,71470,5908,TopLane_Jungle,Many
Pyke,2107.0,2485.0,2107.0,4.333333333333333,2.0,127.0,38888,16649,Other,Few
Sona,411.0,973.0,411.0,1.0,0.0,35.0,15996,5486,Other,Few
Aphelios,7158.0,13113.0,7158.0,1.3,2.0,14.0,115096,11845,Other,Many
Jhin,523.0,5540.0,523.0,2.333333333,0.0,22.0,134318,10737,Other,Many
Camille,10702.0,25971.0,10702.0,4.0,3.0,26.0,196635,17353,TopLane_Jungle,Many
Fiora,4448.0,21377.0,4448.0,3.5,2.0,30.0,249338,17823,TopLane_Jungle,Many
Ekko,0.0,20919.0,0.0,2.75,0.0,19.0,142195,16388,TopLane_Jungle,Few
Warwick,2720.0,8291.0,2720.0,1.181818181818182,1.0,28.0,140889,11893,TopLane_Jungle,Few
Kaisa,2431.0,3656.0,2431.0,1.75,0.0,12.0,115842,11688,Other,Many
Vex,5403.0,9778.0,5403.0,10.0,3.0,42.0,167587,16753,Other,Many
LeeSin,270.0,4907.0,270.0,1.5,0.0,25.0,134545,10202,TopLane_Jungle,Few
Nidalee,2805.0,26531.0,2805.0,3.0,4.0,39.0,164061,13082,TopLane_Jungle,Few
Lucian,4950.0,16361.0,4950.0,2.8,2.0,20.0,134031,12155,Other,Many
Khazix,2996.0,29239.0,2996.0,5.75,3.0,28.0,190488,15041,TopLane_Jungle,Few
Yone,2564.0,6703.0,2564.0,0.875,2.0,10.0,73632,7468,TopLane_Jungle,Many
Thresh,0.0,2002.0,0.0,15.0,0.0,59.0,15000,6645,Other,Few
Taliyah,2755.0,6825.0,2755.0,2.6,0.0,21.0,108922,10084,Other,Many
LeeSin,3723.0,28645.0,3723.0,3.4,4.0,65.0,146607,15340,TopLane_Jungle,Few
Ziggs,16324.0,28118.0,16324.0,8.0,3.0,34.0,180651,13131,Other,Many
Thresh,942.0,1774.0,942.0,12.0,0.0,34.0,15040,5466,Other,Few
Aphelios,13165.0,24385.0,13165.0,2.6666666666666665,4.0,24.0,179367,12630,Other,Many
MissFortune,0.0,130.0,0.0,0.1,0.0,7.0,29514,4769,Other,Few
Jhin,3432.0,18773.0,3432.0,3.8,2.0,36.0,140688,12759,Other,Many
Graves,1281.0,36033.0,1281.0,1.3333333333333333,3.0,39.0,163785,12072,TopLane_Jungle,Few
Corki,987.0,2748.0,987.0,1.714285714,1.0,14.0,166123,11769,Other,Many
Lucian,3009.0,6223.0,3009.0,2.2222222222222223,1.0,22.0,92948,10638,TopLane_Jungle,Many
Lux,818.0,3410.0,818.0,1.0,0.0,39.0,26104,5163,Other,Few
Gragas,0.0,10222.0,0.0,3.5,0.0,35.0,157319,10619,TopLane_Jungle,Few
Yasuo,3308.0,6957.0,3308.0,1.0,1.0,11.0,94438,7453,Other,Many
Viego,2844.0,10546.0,2844.0,2.0,1.0,18.0,138422,10405,TopLane_Jungle,Few
Sona,875.0,1947.0,875.0,1.9166666666666667,0.0,88.0,29042,9093,Other,Few
Lulu,0.0,75.0,0.0,0.6,0.0,12.0,6076,3528,Other,Few
Lux,647.0,1879.0,647.0,2.0,0.0,14.0,100843,8391,Other,Many
Riven,5238.0,11704.0,5238.0,4.0,3.0,13.0,151063,12085,TopLane_Jungle,Many
Olaf,0.0,29140.0,0.0,2.875,0.0,39.0,194369,13700,TopLane_Jungle,Few
Xerath,427.0,427.0,427.0,2.5,0.0,12.0,102925,7771,Other,Many
TwistedFate,1747.0,1901.0,1747.0,4.0,2.0,30.0,76811,10953,Other,Many
Rakan,244.0,300.0,244.0,2.833333333333333,0.0,82.0,23065,7712,Other,Few
Viego,2758.0,27620.0,2758.0,3.0,0.0,26.0,137377,10015,TopLane_Jungle,Few
Camille,2924.0,15277.0,2924.0,1.4,1.0,32.0,164878,12854,TopLane_Jungle,Many
Aphelios,1277.0,2583.0,1277.0,1.1666666666666667,0.0,14.0,78415,7259,Other,Many
Teemo,6792.0,7776.0,6792.0,3.5,2.0,23.0,146320,12510,TopLane_Jungle,Many
Yone,6832.0,12448.0,6832.0,5.0,5.0,17.0,134266,12534,Other,Many
TwistedFate,15077.0,15984.0,15077.0,13.5,7.0,17.0,206970,17138,Other,Many
Jinx,10738.0,10738.0,10738.0,6.5,4.0,14.0,137979,13070,Other,Many
Nami,828.0,935.0,828.0,1.3846153846153846,0.0,70.0,11294,6910,Other,Few
Karthus,1107.0,10458.0,1107.0,2.2,2.0,23.0,127924,10542,Other,Many
Katarina,1199.0,1199.0,1199.0,1.6666666666666667,0.0,16.0,102879,12027,Other,Many
